check_id,legal_converted_amount,courtesy_amount,verification_status,matches_ground_truth,courtesy_true,part_c_prediction_text
ac03000,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac03001,5000,500,failed,false,5000,خمس لاف ريال فقط
ac03003,5000,5000,verified,true,5000,خمسه الاف ريال لا غير
ac03005,17395,1733587,failed,true,1733587,فقط سبعه عشر الف وثاثماه ومسه وثاثون ريال وسون ريل لا غير
ac03006,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03007,2000,12000,failed,true,12000,اثن الف ريال قط لا غير
ac03008,450,450,verified,true,450,فقط اربعمايه وخمسون ريال لا غير
ac03014,2800,2800,verified,true,2800,فقط الفان وثمانمايه ريال لا غير
ac03015,25000,25000,verified,true,25000,فقط خمسه وعشرون الف ريال لا غير
ac03020,3605,3605,verified,true,3605,فقط ثلاثه الاف وستمايه وخمسه ريال لا غير
ac03021,1000,2000,failed,true,2000,الف ريال فقط لا غير
ac03023,6000,5000,failed,true,5000,وقده خمسه الاف ريال لا غير
ac03025,1475,1475,verified,true,1475,الف واربعمايه وخمسه وسبعون ريال لا غير
ac03027,95000,95000,verified,true,95000,فقط خمسه وتسعون الف ريال لا غير
ac03035,500,500,verified,true,500,فقط خمسمايه ريال لا غير
ac03040,28000,28000,verified,true,28000,ثمانيه وعشرون الف ريال لا غير
ac03041,12500,12500,verified,true,12500,اثني عشر الف وخمسمايه ريال لا غير
ac03043,510,7500,failed,false,1500,عشره وخمسمايه ريال لا غير
ac03044,3000,3000,verified,true,3000,ثلاثعه الاف ريال فقط لا غير
ac03045,300,300,verified,true,300,فقط ثلاثمايه ريال
ac03046,3000,300,failed,false,3000,ثلاثه الاف ريال فقط
ac03047,1100,10000,failed,false,100000,مايه الف ريال فقط
ac03048,1152,1152,verified,true,1152,فقط الف ومايه واثنان وخمسون ريال لا غير
ac03049,516,516,verified,true,516,خمسمايه وسته عشر ريال لا غير
ac03057,6000,6000,verified,true,6000,سته الاف ريال سعوقط لا غير
ac03059,3148,3148,verified,true,3148,فقط ثلاثه الف ومايه وثمانيه واربعون ريال لا غير
ac03060,80000,80000,verified,true,80000,ثمانون الف ريال فقط لا غير
ac03063,800,800,verified,true,800,ثمانيمايه ريال لا غير
ac03065,39000,39000,verified,true,39000,تسعه وثلاثون الف ريال لا غير
ac03066,4200,4200,verified,true,4200,فقط اربعه الاف ومايتين ريال لاغي
ac03067,6360,6860,failed,true,6860,سته الاف وثاثايه وستون ريال
ac03069,3080,3080,verified,true,3080,ثلاثه الاف وثمانون ريال
ac03071,8,200,failed,true,200,فقط ثمايان ريال لا غير
ac03072,596,596,verified,true,596,فقط خمسمايه سته وتسعون ريال لا غير
ac03074,2000,2000,verified,true,2000,الفان ريال فقط لا غير
ac03077,2646,2646,verified,true,2646,الفين وستمايه وسته واربعون ريال
ac03082,1000,1000,verified,true,1000,الف ريال لا غير
ac03084,426014,426516,failed,true,426516,فقط اربعمايه وسته وعشرون الف وخمانيه وسته عشريال
ac03086,7000,1000,failed,true,1000,سبعه الاف ريال
ac03087,1003,1300,failed,true,1300,الف وثلاث ريال
ac03088,750,750,verified,true,750,سبعمايه وخمسون ريال لا غير
ac03089,15000,15000,verified,true,15000,خمسه عشر الف ريال فقط ير
ac03094,600000,600000,verified,true,600000,سبمايه الف ريال فقط
ac03095,20000,20000,verified,true,20000,عشرون الف ريال لا غير
ac03099,1600,1600,verified,true,1600,الف وستمايه ريال لا غير
ac03100,12000,12000,verified,true,12000,اثنا عشر الف ريال
ac03101,1900,116000,failed,false,1600,فقط الف وسعمايه ريال
ac03102,3000,3000,verified,true,3000,فقط ثلاثه الاف ريال لا غير
ac03103,14440,14440,verified,true,14440,اربعه عشر الف واربعمايه واربعون ريال لا غير
ac03104,420,400,failed,false,420,فقط اربعمايه وعشرون ريالا لا غير
ac03105,6334,6334,verified,true,6334,سته الاف وثلاثمايه واربعه وثلاثون ريال لا غير
ac03106,5000,5000,verified,true,5000,خمسه الاف ريال فقط
ac03107,25000,25000,verified,true,25000,فقط خمسه وعشرون الف ريال لا غير
ac03108,14000,14000,verified,true,14000,فقط اربعه عشر الف ريال لا غير
ac03109,14408,14408,verified,true,14408,اربعه عشر الف واربعمايه وثمانيه ريال لا غير
ac03112,570,570,verified,true,570,خمسمايه وسبعون ريال فقط
ac03114,2750,2750,verified,true,2750,الفان وسبعمايه وخمسون ريال لا غير
ac03116,1420,1425,failed,true,1425,اقد الف واربعمايه وعشرون ريال لا غير
ac03117,12750,12750,verified,true,12750,اثن عشر الف وسبعمايه وخمسون ريال
ac03120,300000,300000,verified,true,300000,ثلاثمايه الف ريال لا غير
ac03121,1800,1800,verified,true,1800,الف وثمانمايه ريال فقط لا غير
ac03122,5727,5727,verified,true,5727,خمسه الاف وسبعمايه وسبعه وعشرون ريال لا غير
ac03125,3000,3000,verified,true,3000,ثلاثه الاف ريال لا غير
ac03126,70000,70000,verified,true,70000,سبعون الف ريال لا غير
ac03129,714,714,verified,true,714,فقط سبعمايه واربعه عشر ريال لا غير
ac03133,2450,2450,verified,true,2450,وقدره الفان واربعمايه وخمسون ريال لا غير
ac03134,20000,20000,verified,true,20000,خقعشرون الف ريال لا غير
ac03138,10000,10000,verified,true,10000,فقط عشره الاف ريال لا غير
ac03142,8000,8000,verified,true,8000,ثمانيه الاف ريال فقط لا غير
ac03143,3844,3841,failed,false,3844,فقطثلاثه الاف وثمانمايه واربعه واربعون ريال لا غير
ac03146,1000,1000,verified,true,1000,الف ريال فقط لا غير
ac03147,1187,1187,verified,true,1187,فقط الف وايه وسبعه وثمانون ريال
ac03148,3382,3382,verified,true,3382,فقط ثلاثه الاف وثلاثمايه واثنان وثمانون ريال
ac03149,900000,900000,verified,true,900000,فقط تسعمايه الف ريال لا غير
ac03150,1241,1241,verified,true,1241,فقط الف وميتان واحد واربعون ريال لا غير
ac03153,7950,7950,verified,true,7950,سبعه الاف وتسعمايه وخمسون ريال لا غير
ac03154,30000,30000,verified,true,30000,فقط ثلاثون الف ريال لا غير
ac03159,3000,3000,verified,true,3000,ثلاثه الاف ريال سعوري لاغير
ac03160,3450,3450,verified,true,3450,ثلاثه الاف و اربعمايه وخمسون ريال لا غير
ac03162,35000,35000,verified,true,35000,فقط خمسه وثلاثون الف ريال لا غير
ac03163,1200,1200,verified,true,1200,الف ومايتن ريال فقط
ac03166,20000,20000,verified,true,20000,عشرون الف ريال لا غير
ac03167,1315,1315,verified,true,1315,الف وثلاثمايه وخمسه عشر ريال
ac03168,5000,5000,verified,true,5000,فقط خمسه الاف ريال سعوريال لا غير
ac03170,1100,100000,failed,true,100000,فقط مايه الف ريال
ac03176,1008,1200,failed,true,1200,فقط الف وماين ريال لا غير
ac03184,300,300,verified,true,300,فقط ثلاثمايه ريال سعولا غير
ac03187,1400,1400,verified,true,1400,فقط الف واربعمايه ريال لا غير
ac03188,5500,5500,verified,true,5500,فقط خمسه الاف وخمسمايه ريال لا غير
ac03189,9000,99000,failed,false,9000,تسعه الاف ريال فقط
ac03191,1100,1100,verified,true,1100,الف ومايه ريال لا غير
ac03195,900,900,verified,true,900,تسعمايه ريال لا غير
ac03202,6500,66500,failed,false,6500,سته الاف وخمسمايه ريال فقط
ac03204,7095,795,failed,false,7095,سبعه الاف وخمسه وتسعون ريال لا غير
ac03208,37000,437000,failed,false,37000,سبعه وثلاثون الف ريال قط لا غير
ac03209,30000,30000,verified,true,30000,ثلاثون الف ريال
ac03210,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03212,50000,50000,verified,true,50000,فقط خمسون الف ريال لا غير
ac03213,500,500,verified,true,500,فقط خمسمايه ريال لا غير
ac03214,2620,2720,failed,true,2720,فقط الفان وستمايه وعشرون ريال لا غير
ac03215,14450,14450,verified,true,14450,اربعه عشر الف واربعمايه وخمسون ريال
ac03216,9250,9250,verified,true,9250,تسعه الاف وميتان ومسون ريال لا غير
ac03218,32000,32000,verified,true,32000,اثنان وثلاثون الف ريال فقط
ac03219,80144,80144,verified,true,80144,ثمانون الف ومايه واربع واربعون ريال قط
ac03220,4080,4080,verified,true,4080,اربعه الاف وثمانون ريال لا غير
ac03222,6139,6139,verified,true,6139,سته الاف ومايه وتسعه وثلاثون ريال
ac03225,9954,9954,verified,true,9954,تسعه الاف وتسعمايه واربعه وخمسون ريال لا غير
ac03226,720,720,verified,true,720,فقط سبعماه وعشرون ريال لا غير
ac03227,300000,30000,failed,false,300000,فقط ثلاثمايه الف ريال لا غير
ac03231,295,295,verified,true,295,مايتان وخمسيه وتسعون ريال
ac03232,4500,4500,verified,true,4500,اربعه الاف وخمسمايه ريال لا غير
ac03233,15153,15153,verified,true,15153,خمسه عشر الف ومايه وثلاثه وخمسون ريال لا غير
ac03236,1000,30000,failed,true,30000,وقدرهثلاثون الف ريال فقط
ac03237,557,557,verified,true,557,خمسمايه وسبعه وخمسون ريال لا غير
ac03238,10000,1000,failed,false,10000,عشره الاف ريال قط
ac03239,2500,2500,verified,true,2500,الفان وخمسمايه ريال لا غير
ac03241,10035,1035,failed,true,1035,وقره الف وخمسه وثلاثون ريال
ac03243,252,2252,failed,true,2252,فقط لين ومايتين واثن وخمسون ريال لا غير
ac03244,10000,10000,verified,true,10000,وقدره عشره الاف ريال فقط لا غير
ac03245,1800,2800,failed,true,2800,الفا وثمانمايه ريال لا غير
ac03247,8910,8910,verified,true,8910,ثمانيه الف وتسعمايه وعشره ريال فقط لا غير
ac03249,5000,5000,verified,true,5000,فقط خمسه الاف ريال لا غير
ac03250,1850,2850,failed,true,2850,فقط الفا وثمانمايه وخمسون ريال لا غير
ac03253,1805,2802,failed,false,2805,الفن وثمانمايه وخمسه ريال لا غير
ac03254,800,800,verified,true,800,ثمانمايه ريال لا غير
ac03255,5120,5520,failed,true,5520,خمسه الاف وخمايه وعشرون ريال لا غير
ac03256,2008,1000,failed,true,1000,الف ال ثمان ريال
ac03257,5925,5925,verified,true,5925,فقط خمسه الاف وتسعمايه وخمسه وعشرون ريال لا غير
ac03263,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03265,2500,2500,verified,true,2500,الفان وخمسمايه ريال لا غير
ac03266,1000,10000,failed,true,10000,فقط سه والافن ريال ف لا غير
ac03267,21099,21099,verified,true,21099,فقط احد وعشرون الف وتسعه وتسعون ريال لا غير
ac03268,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03269,9000,9000,verified,true,9000,فقط تسعه الاف ريال لا غير
ac03271,400000,400000,verified,true,400000,فقط اربعمايه الف ريال لا غير
ac03272,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03273,7500,7500,verified,true,7500,سبعه الاف وخمسمايه ريال
ac03274,5000,5000,verified,true,5000,فقط خمسه الاف ريال لا غير
ac03275,4151,4151,verified,true,4151,فقط اربعه الاف ومايه واحد وخمسون ريال
ac03278,730,730,verified,true,730,فقط سبعمايه وثلاثون ريال لا غير
ac03279,3000,3100,failed,false,3000,فقط ثلاثه الاف ي
ac03282,5145,5145,verified,true,5145,خمسه الاف ومايه وخمسه واربعون ريال
ac03284,14810,68820,failed,true,68820,فقط ثمانيه وستن الف وثمنمايه وعشرن ريال لا غير
ac03285,600,600,verified,true,600,فقط ستمايه ريال لا غير
ac03286,18100,18100,verified,true,18100,فقط ثمانيه عشرالف ومايه ريال لا غير
ac03288,2500,2500,verified,true,2500,فقط الفان وخمسمايه ريال لا غير
ac03289,11328,11328,verified,true,11328,احد عشر الف وثلاثمايه وثمانيه وعشرون ريالا غير
ac03290,40000,400000,failed,false,40000,فقط اربعون الف ريال لا غير
ac03292,5145,5145,verified,true,5145,خمسه الاف ومايه وخمسه واربعون ريال فقط
ac03293,6000,6000,verified,true,6000,سته الاف ريال قط
ac03296,31400,31400,verified,true,31400,فقط احد وثلاثون الف واربعمايه ريال لا غير
ac03297,15000,15000,verified,true,15000,خمسه عشر الف ريال فقط لا غير
ac03298,30000,30000,verified,true,30000,فقط ثلاثون الف ريال لا غير
ac03299,16000,16000,verified,true,16000,سته عشر الف ريال فقط لا غير
ac03302,1900,6900,failed,false,1900,وقدره الف وتسعمايه ريال لا غير
ac03304,187,187,verified,true,187,مايه وسبعه وثمانون ريال لا غير
ac03308,2040,2040,verified,true,2040,الفين واربعون ريال لا غير
ac03311,6000,6000,verified,true,6000,فقط سته الاف ريال لا غير
ac03316,16643,16643,verified,true,16643,سته وعشر الف و ستميه وثلاثه واربعون ريال
ac03318,10682,1682,failed,false,10682,عشره الاف و ستمايه واثن وثمانون ريال
ac03321,100,100,verified,true,100,مايه ريال سعوريلا غير
ac03322,3300,3300,verified,true,3300,فقط ثلاثه الاف وثلاثمايه ريال لا غير
ac03328,514,1514,failed,true,1514,فقف وخمسمايه واربعه عشر ريال لا غير
ac03329,10000,10000,verified,true,10000,ععشره الاف ريال لا غير
ac03330,4000,4000,verified,true,4000,اربعن الف ريال فقط لا غير
ac03331,400,400,verified,true,400,اربعمايه ريال لا غير
ac03333,2500,2500,verified,true,2500,فقط الفان وخمسمايه ريال لا غير
ac03334,3008,32000,failed,false,3200,ثلاثه الاف وماين ريال لا غير
ac03337,10000,10000,verified,true,10000,فقط عشره الف ريال
ac03338,10000,12000,failed,true,12000,ثنعشر الف ريال فقط لا غير
ac03341,500,500,verified,true,500,خمسمايه ريال فقط لا غير
ac03342,1000,10000,failed,true,10000,عون الاف ريال
ac03344,5000,5000,verified,true,5000,فقط خمسه الاف ريال لا غير
ac03348,500,500,verified,true,500,خمسمايه ريال فقط
ac03349,4875,4895,failed,true,4895,فقط اربعه الاف وثمانمايه وخمسه وسبعون ريال
ac03350,1044,1044,verified,true,1044,الف واربعه واربعون ريال لا غير
ac03351,10290,10290,verified,true,10290,فقط عشره الاف وميتان وتسعون ريال لا غير
ac03354,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac03360,1670,1175,failed,true,1175,الف ومايته وخمسمايه وسبعون ريال
ac03361,3062,3062,verified,true,3062,فقط ثلاثه الاف واثنان وستون ريال لا غير
ac03366,3535,3535,verified,true,3535,ثلاثه الاف وخمسمايه وخمسه وثلاثون ريال فقط
ac03367,1000,4000,failed,true,4000,قط ل الط
ac03371,5145,5145,verified,true,5145,خمسه الاف ومايه وخمسه واربعون ريال
ac03374,2008,2800,failed,true,2800,الفيه وثانمانيه ريال لا غير
ac03378,24072,24072,verified,true,24072,اربعه وعشرون الف واثنان وسبعون ريال فقط
ac03379,5000,5000,verified,true,5000,فقط خمسه الاف ريال لا غير
ac03380,1100,1100,verified,true,1100,فقط الف ومايه ريال لا غير
ac03381,10000,10000,verified,true,10000,فقط عشره الاف ريال لا غير
ac03384,50000,50000,verified,true,50000,خمسون الف ريال لا غير
ac03387,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03388,7000,7000,verified,true,7000,سبعه الف ريال لا غير
ac03389,14000,14000,verified,true,14000,فقط اربعه عشر الف ريال لا غير
ac03392,6200,6200,verified,true,6200,سته الاف وميتان ريال لا غير
ac03393,1000,5000,failed,true,5000,وقدرهخمسه الاف ريال فقط لا غير
ac03394,10000,40000,failed,false,10000,وقدره عشره الاف ريال فقط لا غير
ac03395,4000,4000,verified,true,4000,اربعه الاف ريال لا غير
ac03396,900,900,verified,true,900,تسعمايه ريال لا غير
ac03398,3000,3000,verified,true,3000,ثلاثه الاف ريال لا غير
ac03400,1988,1988,verified,true,1988,الف وتسعمايه وثمانيه وثمانون ريال
ac03401,1000,2000,failed,true,2000,الف ريال لا غير
ac03402,1000,1000,verified,true,1000,قالف ريال لا غير
ac03403,1000,500000,failed,false,50000,فقط عه الف ريال لا غير
ac03404,1000,1000,verified,true,1000,الف ريال قط لا غير
ac03405,16500,16500,verified,true,16500,فقط سته عشر الف وخمسمايه ريال لا غير
ac03408,2560,2560,verified,true,2560,الفين وخمسمايه وستون يل
ac03410,9,20160,failed,true,20160,فقط مان واحد ريال وسو لهل لا غير
ac03414,3000,3000,verified,true,3000,فقط ثلاثه الاف ريال لا غير
ac03415,20000,20000,verified,true,20000,عشرون الف ريال فقط لا غير
ac03418,1500,1500,verified,true,1500,الف وخمسمايه ريال لا غير
ac03423,550,550,verified,true,550,خمسمايه وخمسون ريال
ac03426,13750,13750,verified,true,13750,ثلاثه عشر الف وسبعمايه وخمسون ريال لا غير
ac03427,2500,2500,verified,true,2500,الفان وخمسمايه ريال لا غير
ac03428,2800,2800,verified,true,2800,الفان وثمان مايه ريال عودقط لا غير
ac03430,7305,7305,verified,true,7305,فقط سبعه الاف ثلاثماه وخمسه ريال لا غير
ac03432,84000,84000,verified,true,84000,فقط اربعه وثمانون الف ريال لا غير
ac03436,18003,18300,failed,true,18300,فقط ثمانيه عشر الف وثلاثيه ريال لا غير
ac03437,1048,1240,failed,true,1240,فقط الف ومتان واربعون ريال لا غير
ac03438,19073,19073,verified,true,19073,فقط تسعه عشر الف وثلاثه وسبعون ريالا لا غير
ac03444,4607,4607,verified,true,4607,فقط اربعه الاف وستمايه وسبعه ريال لا غير
ac03445,87000,87000,verified,true,87000,سبعه وثمانون الف ريال فقط لا غير
ac03446,1850,1850,verified,true,1850,الف وثمانمايه وخمسون ريال فقط
ac03448,1000,1000,verified,true,1000,وقدره الف ريال لا غير
ac03449,20000,20000,verified,true,20000,فقط عشرون الف ريال لا غير
ac03450,21000,21000,verified,true,21000,فقط واحد وعشرون الف ريال لا غير
ac03451,2779,2779,verified,true,2779,الفان وسبعمايه وتسعه وسبعون ريال لا غير
ac03453,3910,390,failed,false,3910,فقط ثلاثه الاف و تسعمايه وعشر ريال لا غير
ac03454,2952,2952,verified,true,2952,فقط الفين وتسعمايه واثنين وخمسون ريال لا غير
ac03455,24000,24000,verified,true,24000,اربعه وعشون الف ريال لا غير
ac03458,1080,1080,verified,true,1080,الف وثمانون ريال لا غير
ac03461,5600,5600,verified,true,5600,خمسه الف وستمايه ريال لا غير
ac03463,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03464,7000,70000,failed,true,70000,سبعه الاف ريال لا غير
ac03465,500000,500000,verified,true,500000,خمسمايه الف ريال فقط لا غير
ac03467,500000,500000,verified,true,500000,خمسمايه الف ريال لا غير
ac03468,50100,150000,failed,true,150000,مايه وخمسون الف ريال فقط لا غير
ac03469,1000,2000,failed,true,2000,الف فريال
ac03470,2000,2000,verified,true,2000,فقط الفين ريال لا غير
ac03471,10000,10000,verified,true,10000,فقط عشره الاف ريال لا غير
ac03474,3411,3416,failed,false,3411,فقط ثلاثه الف واربعمايه واحد عشره ريال
ac03476,50000,50000,verified,true,50000,فقط خمسون الف ريال لا غير
ac03479,50000,50000,verified,true,50000,خمسون الف ريال لا غير
ac03480,7500,7500,verified,true,7500,فقط سبعه الاف وخمسمايه ريال لا غير
ac03481,1350,1350,verified,true,1350,فقط الف وثلاثمايه وخمسون ريال لا غير
ac03483,4000,4000,verified,true,4000,اربعه الاف ريال
ac03484,1800,11800,failed,false,1800,الف وثمانمايه ريال فقط لا غير
ac03485,50000,50000,verified,true,50000,خمسون الف ريال لا غير
ac03486,993,993,verified,true,993,تسعمايه وثلاثه وتسعون ريال لا غير
ac03487,500,500,verified,true,500,خمسمايه ريالف فلا غير
ac03488,80,280,failed,true,280,ان وثمانون ريال فقط لا غير
ac03489,3320,3320,verified,true,3320,فقط ثلاثه الاف وثلاثمايه وعشرون ريال لا غير
ac03490,500,500,verified,true,500,خمسمايه ريال فقط لا غير
ac03491,12000,12000,verified,true,12000,اثني عشر الف ريال فقط لا غير
ac03492,1000,1080,failed,true,1080,الحف وان ريال لا غير
ac03493,2580,2580,verified,true,2580,فقط الفان وخمسمايه وثمانون ريال لا غير
ac03495,125,1125,failed,true,1125,فقده ومايه وخمسه وعشرون ريال لا غير
ac03496,2000,2000,verified,true,2000,الفان ريال قط لا غير
ac03497,1771,1771,verified,true,1771,الف وسبعمايه واحد وسبعون ريال لا غير
ac03498,30000,30000,verified,true,30000,ثلاثون الف ريال فقط
ac03500,50000,50000,verified,true,50000,خمسون الف ريال لا غير
ac03501,3000,3000,verified,true,3000,ثلاثه الاف ريال فقط
ac03503,50000,2240,failed,true,2240,الفان وثتان واربعون ريال فقطلا غير
ac03504,68000,68000,verified,true,68000,ثمانيه وستون الف ريال فقط لا غير
ac03505,2550,2550,verified,true,2550,فقط الفان وخمسمايه وخمسون ريال لا غير
ac03509,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac03510,60000,60000,verified,true,60000,فقط سون الاف ريال لا غير
ac03511,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03512,31086,31680,failed,true,31680,فقط واحد ثلاثون الفا وستاه وثمانون ريالا لا غير
ac03513,5076,5096,failed,true,5096,خمسه الاف وسته وسبعون ريال لا غير
ac03514,40000,40000,verified,true,40000,فقط اربعون الف ريال لا غير
ac03517,4514,4514,verified,true,4514,فقط اربعه الاف وخمسمايه واربعه عشر ريال لا غير
ac03518,500000,500000,verified,true,500000,فقط خمسايه الف ريال لا غير
ac03519,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03520,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03521,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03528,2574,2574,verified,true,2574,الفان وخمسمايه واربع وسبعون ريالا لا غير
ac03529,5008,5200,failed,true,5200,خمسه الاف وماين ريال
ac03530,2850,2850,verified,true,2850,الفين وثمانمايه وخمسون ريال لا غير
ac03532,24000,24000,verified,true,24000,فقط اربعه وعشرون الف ريال لا غير
ac03534,10000,10000,verified,true,10000,وقدره عشره الاف ريال فقط لا غير
ac03535,24000,24000,verified,true,24000,فقط اربعه وعشرون الف ريال لا غير
ac03536,24000,24000,verified,true,24000,فقط اربعه وعشرون الف ريال لا غير
ac03537,10000,10000,verified,true,10000,عشره الاف ريال لا غير
ac03542,2010,2010,verified,true,2010,فقط الفان وعشره ريال لا غير
ac03543,1500,8500,failed,true,8500,وقدرثمانيه الاف وخمسمايه ريال لا غير
ac03544,3,3000,failed,true,3000,ثلاثه لاون ريال
ac03545,20000,20000,verified,true,20000,فقط عشرون الف ريال لا غير
ac03548,5145,5145,verified,true,5145,خمسه الاف ومايه وخمسه واربعون ريال
ac03550,53300,53300,verified,true,53300,فقط ثلاثه وخمسون الف وثلاثمايه ريال لا غير
ac03551,600,600,verified,true,600,ستمايه ريال فقط لا غير
ac03552,15800,15800,verified,true,15800,فقط خمسه عشر الف وثمانومايه ريال لا غير
ac03553,27900,27900,verified,true,27900,سبعه وعشرون الف وتسعمايه ريالا لا غير
ac03560,1100,1100,verified,true,1100,فقط الف ومايه ريال لا غير
ac03561,3600,3600,verified,true,3600,ثلاثه الاف وستمايه ريال لا غير
ac03562,25000,350000,failed,false,25000,فقط خمسه و عشرون لاف ريال لا غير
ac03563,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03564,56,50000,failed,true,50000,فقط خمسون لع سا لا غير
ac03569,600,600,verified,true,600,ستمايه ريال لا غير
ac03570,10000,10000,verified,true,10000,عشره الاف ريال لا غير
ac03571,1150,1150,verified,true,1150,الف ومايه وخمسون ريال لا غير
