check_id,legal_converted_amount,courtesy_amount,verification_status,matches_ground_truth,courtesy_true,part_c_prediction_text
ac03573,3914,3914,verified,true,3914,ثلاثه الاف وسعمايه واربع عشره ريال
ac03575,1000,2000,failed,true,2000,الف رياللا غير
ac03576,3894,3894,verified,true,3894,فقط ثلثه الاف وثمانمايه واربعه وتسعون ريال لا غير
ac03578,4899,4896,failed,false,4899,فقط اربعه الاف وثمانمايه وتسعه وتسعون ريال لا غير
ac03579,1000,2000,failed,true,2000,الفن ريال لا غير
ac03580,12500,12500,verified,true,12500,اثنا عشر الف وخمسمايه ريال لا غير
ac03582,1574,1574,verified,true,1574,الف وخمسمايه اربعه وسبعون ريال لا غير
ac03583,4034,4034,verified,true,4034,اربعه الاف واربعه وثلاثون ريال لا غير
ac03585,8000,80000,failed,true,80000,ثمانييه الف ريال فقط
ac03588,5000,5000,verified,true,5000,خمسه الاف ريال لا غير
ac03593,1867,1867,verified,true,1867,فقط الف وثمانمايه وسبعه وستون ريال لا غير
ac03598,15000,15000,verified,true,15000,خمسه عشر الف ريال فقط
ac03600,10000,20000,failed,false,10000,وقدره عشره الاف ريال فقط لا غير
ac03602,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03605,1500,1500,verified,true,1500,الف وخمسمايه ريال لا غير
ac03606,14040,14232,failed,true,14232,فقط اربعه عشر الف ومان واثنان وثلاثون ريال لا غير
ac03607,5050,5050,verified,true,5050,خمسه الاف وخمسون ريال لا غير
ac03613,3000,3000,verified,true,3000,ثلاثه الف ريال فقطا
ac03614,700000,400000,failed,true,400000,فقط ربعمايه الف ريال لا غير
ac03615,318000,318000,verified,true,318000,فقط ثلاثمايه وثمانيه عشر الف ريال لا غير
ac03616,4000,4000,verified,true,4000,اربعه الاف ريال لا غير
ac03620,80004,848,failed,true,848,فقط ثمانمايه مايه واربعن ريال لا غير
ac03622,2550,2550,verified,true,2550,فقط الفين وخمسمايه وخمسون ريال لا غير
ac03623,12000,12000,verified,true,12000,فقط اثنين عشره الف ريال لا غير
ac03626,30000,30000,verified,true,30000,فقط ثلاثون الف ريال لا غير
ac03628,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03629,1500,1500,verified,true,1500,فقط الف وخمسمايه ريال غير
ac03631,,2000,failed,true,2000,وقدرهتسعين ريال لا غير
ac03633,68860,68850,failed,true,68850,فقط ثمانيه وستون الف وثمانمايه وسون ريالا لا غير
ac03635,1100,100000,failed,true,100000,فقط مانيه الف ريال لا غير
ac03638,6167,6167,verified,true,6167,سته الاف ومايه وسبعه وستون ريال
ac03639,1000,2000,failed,true,2000,فقط الفريال لا غير
ac03641,1667,1667,verified,true,1667,فقط الف وستمايه وسبعه وستون ريال لا غير
ac03643,40000,40000,verified,true,40000,فقط اربعون الف ريال لا غير
ac03644,70000,70000,verified,true,70000,سبعون الف ريال لا غير
ac03646,40100,140000,failed,true,140000,فقط مايه واربعون الف ريال لا غير
ac03647,1100,100000,failed,true,100000,مايه الف ريال لا غير
ac03648,2000,2000,verified,true,2000,الفين ريال فقط لا غير
ac03650,1000,10000,failed,true,10000,وقدرهعشره الاف ريال فقط لا غير
ac03652,7000,1000,failed,true,1000,الف ريال و سع ال
ac03653,2500,2500,verified,true,2500,فقط الفان وخمسمايه ريال لا غير
ac03660,22812,2814,failed,false,22812,فقط اثنان وعشرون ال وثمانمايه واثنا عشرن ريال لا غير
ac03664,9798,9798,verified,true,9798,تسعه الاف وسبعمايه وثمانيه وتسعون ريال فقط
ac03665,12400,22400,failed,true,22400,فقط اثنين وعشرن الف واربعمايه ريال لا غير
ac03669,5000,5000,verified,true,5000,فقط خمسه الف ريال لا غير
ac03673,3000,3000,verified,true,3000,فقط ثلاثه الاف ريال لا غير
ac03674,11260,11550,failed,false,11250,احد عشره الفا و مايتان و سعون ريال
ac03675,21300,121200,failed,true,121200,مايه واحدع وعشرون الف ومايتين ريال لا غير
ac03676,34000,34000,verified,true,34000,اربعه وثلاثون الف ريال لا غير
ac03677,2000,2000,verified,true,2000,الفان ريال لا غير
ac03679,2000,2000,verified,true,2000,الفان ريال لا غير
ac03680,3000,3000,verified,true,3000,ثلاثه الاف ريال فقط لا غير
ac03681,4800,4800,verified,true,4800,اربعه الف وثمانمايه ريال لا غير
ac03684,25000,25000,verified,false,250000,فقط خمسه عشرون الف ريال لا غير
ac03688,959,959,verified,true,959,تسعمايه وتسعه وخمسون ريال
ac03689,5000,5000,verified,true,5000,خمسه الاف ريال قط ا
ac03692,8000,100000,failed,true,100000,ثمانيه الف ريال فقط لا غير
ac03693,30000,3000,failed,false,30000,ثلاثون الف ريال فقط لا غير
ac03697,23809,3809,failed,false,23809,ثلاثه وعشرون الف وثمانمايه وسع ريال
ac03700,775,775,verified,true,775,سبعمايه وخمسه وسبعون ريال فقط
ac03701,1100,1100,verified,true,1100,فقط الف ومايه ريال لا غير
ac03706,4665,4665,verified,true,4665,اربعه الف وسته مايه وخمسه تون ريال لا غير
ac03707,10000,10000,verified,true,10000,عشره الاف ريال لا غير
ac03709,6218,6218,verified,true,6218,فقط سته الاف ومايتان وثمانه عشر ريال لا غير
ac03710,482,2480,failed,true,2480,اثفان واربعمايه وثمانون ريال فقط لا غير
ac03711,14164,14154,failed,true,14154,اربعه عشر الف ومايه واربعه و سون ريال لا غير
ac03712,23070,23090,failed,true,23090,فقط ثلاثه وعشرون الف وسبعون ريال
ac03718,2000,2000,verified,true,2000,الفين ريال لا غير
ac03722,60660,78560,failed,true,78560,قط ثمايه وستون الف وخمسمايه وستون ريال لا غير
ac03728,10000,10000,verified,true,10000,وقدر عشر الاف ريالا غير
ac03729,3000,3000,verified,true,3000,ثلاثه الاف ريال فقط
ac03730,1131,131,failed,false,1131,فقط الف ومايه وحد وثلاثون ريال لا غير
ac03734,10000,10000,verified,true,10000,وقدره عشره الاف ريال فقط لا غير
ac03735,25000,25000,verified,true,25000,فقط خمسه وعشرون الف ريال لا غير
ac03736,10000,10000,verified,true,10000,وقدره عشره الاف ريال فقط لا غير
ac03739,900,1900,failed,true,1900,فقط اي ان وتسعمايه ريال لا غير
ac03740,30000,30000,verified,true,30000,ثلاثون الف ريال لا غير
ac03741,1000,200000,failed,true,200000,فقط الف ريال لا غير
ac03743,1100,1100,verified,true,1100,الف ومايه ريال لا غير
ac03744,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03751,1630,1630,verified,true,1630,الف وستمايه و ثاثون ريال لا غير
ac03753,25000,25000,verified,true,25000,خمسه وعشرون الف ريال فقط
ac03755,1600,1900,failed,true,1900,الف وتمايه ريال لا غير
ac03756,2050,2050,verified,true,2050,فقط الفان وخمسون ريال لا غير
ac03757,4008,4200,failed,true,4200,اربعه الاف ومان ريال قط
ac03758,13600,13600,verified,true,13600,ثلاثه عشر الف وستمايه ريال فقط
ac03759,3650,3650,verified,true,3650,ثلاثه الف وستمايه وخمسون ريال
ac03762,2400,247,failed,false,2400,الفين واربعمايه ريال لا غير
ac03768,824,824,verified,true,824,فقط ثمانمايه واربعه وعشرون ريال لا غير
ac03772,591,591,verified,true,591,خمسمايه واحد وتسعون ريال لا غير
ac03775,9453,9453,verified,true,9453,تسعه الاف واربعمايه وثلاثه وخمسون ريال
ac03776,680,680,verified,true,680,ستمايه وثمانون ريال لا غير
ac03778,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03779,4537,4537,verified,true,4537,فقط اربعه الف وخمسمايه وسبعه وثلاثون ريال
ac03780,2500,2500,verified,true,2500,الفين وخمسمايه ريال لا غير
ac03781,10700,6070,failed,false,10700,عشره الاف وسبعمايه ريال لا غير
ac03785,490,450,failed,true,450,اربعمايه وتسعون ريال فقط لا غير
ac03787,1390,2390,failed,true,2390,الف وثلاثمايه وتسعون ريال لا غير
ac03789,8000,8000,verified,true,8000,ثمانه الاف ريال لا غير
ac03791,16000,16000,verified,true,16000,سته عشر الف ريال فقط
ac03794,10382,10382,verified,true,10382,عشره الاف وثلاثمايه واثنين وثمانون ريال لا غير
ac03795,1500,1500,verified,true,1500,فقط الف وخمسمايه ريال لا غير
ac03796,3000,3000,verified,true,3000,فقط ثلاثه الف ريال لا غير
ac03797,8700,10600,failed,false,108600,فقط مايه وثمانه الاف و ستمايه ريال لا غير
ac03799,80100,180000,failed,true,180000,مايه وثمانون الف ريال لا غير
ac03800,2980,2980,verified,true,2980,الفين وتسعمايه وثمانون ريال
ac03802,500,1500,failed,true,1500,وقدرهالف وخمسمايه ريال لا غير
ac03808,45910,45920,failed,true,45920,خمسه واربعون الف وتسعمايه وعشرن ريال
ac03809,2066,2660,failed,true,2660,فقط الفان وستاه وستون ريالا لا غير
ac03814,13365,13365,verified,true,13365,ثلاثه عشره الف وثلاثمايه وخمس وستون ريال
ac03815,900,900,verified,true,900,تسماليه ريال لا غير
ac03816,22000,22000,verified,true,22000,اثنان وعشرون الف ريال لا غير
ac03819,60000,700,failed,false,7000,فقط سعون الف ريال لا غير
ac03822,10120,10120,verified,true,10120,عشره الاف ومايه وعشرون ريال فقط
ac03823,6860,6860,verified,true,6860,سته الاف وثمانمايه وستون ريال
ac03826,3300,33000,failed,false,3300,فقط ثلاثه الاف وثلاثمايه ريال لا غير
ac03827,12383,12383,verified,true,12383,اثني عشر الف وثلاثمايه وثلاثه وثمانون ريال لا غير
ac03828,4260,4260,verified,true,4260,اربعه الاف ومايتان و ستون ريال لا غير
ac03831,471,471,verified,true,471,اربعمايه واحد وسبعون ريال فقط
ac03836,22000,22000,verified,true,22000,وقدره اثنان وعشرون الف ريال لا غير
ac03838,10000,10000,verified,true,10000,فقط عشره الف ريال لا غير
ac03842,7000,7000,verified,true,7000,فقط سبعه الاف ريال لا غير
ac03843,3000,3000,verified,true,3000,ثلاثه الاف ريال لا غير
ac03845,2000,3000,failed,true,3000,ثثنه الاف ريال
ac03846,18012,18480,failed,true,18480,ثمانيه عشر الف واربعاه وثمان ريال فقط لا غير
ac03847,6500,6500,verified,true,6500,فقط سته الاف وخمسمايه ريال لا غير
ac03849,2610,2610,verified,true,2610,الفين وستمايه وعشرن ريال
ac03855,11020,21222,failed,true,21222,احد وعشرن الف وماين واثن وعشر ريال فلا غير
ac03857,10550,46550,failed,true,46550,سته واربعه الف وخمسمايه وخمسون ريال لا غير
ac03858,755,755,verified,true,755,فقط سبعمايه وخمسه وخمسون ريال
ac03859,4500,4500,verified,true,4500,اربعه الاف وخمسمايه ريال ود ل
ac03862,1000,10,failed,false,1000,الف ريال لا غير
ac03863,40000,40000,verified,true,40000,اربعون الف ريال فقط لا غير
ac03866,5000,500,failed,false,5000,فقط خمسه الف ريال لا غير
ac03869,1500,6500,failed,false,1500,الف وخمسمايه ريال فقط لا غير
ac03870,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03873,500,500,verified,true,500,فقط خمسمايه ريال لا غير
ac03874,3200,30200,failed,true,30200,ثلاثوه الف ومايتن ريال فقط
ac03875,4500,4500,verified,true,4500,اربعه الاف ومسمايه ريال لا غير
ac03877,55500,55500,verified,true,55500,فقط خمسه وخمسون الف وخمسايه ريال لا غير
ac03878,1611,7911,failed,false,1911,الف وستمايه واحدي عشر ريال لا غير
ac03880,15050,15050,verified,true,15050,خمسه عشر الف وخمسون ريال لا غير
ac03881,1975,6975,failed,true,6975,فقط ه الاف وتسعمايه وخمسه وسبعون ريال لا غير
ac03882,1771,1771,verified,true,1771,فقط الف وسبعمايه واحد وسبعون ريال لا غير
ac03884,200000,200000,verified,true,200000,فقط مايتان الف ريال لا غير
ac03887,23909,23909,verified,true,23909,فقط ثلاثه وعشرون الف وتسعمايه وتسعه ريال لا غير
ac03888,1300,130,failed,false,1300,الف وثلاثمايه ريال لا غير
ac03891,3000,3000,verified,true,3000,فقط ثلاثه الاف ريال لا غير
ac03892,2000,2000,verified,true,2000,فقط الفان ريال لا غير
ac03895,620,720,failed,true,720,ستمايه وعشرون ريال لا غير
ac03899,3908,3935,failed,true,3935,فقط ثلاثه الاف وتسعمايه وخمسه ثلاثو ريال لا غير
ac03900,1600,11600,failed,false,1600,فقط الف وستمايه ريال لا غير
ac03901,30000,30000,verified,true,30000,فقط ثلاثون الف ريال لا غير
ac03903,15000,15000,verified,true,15000,خمسه عشره الف ريال لا غير
ac03905,4920,4920,verified,true,4920,فقط اربعه الاف وتسعمايه وعشرون ريال لا غير
ac03910,480000,480000,verified,true,480000,فقط اربعمايه وثمانون الف ريال لا غير
ac03911,5000,15000,failed,true,15000,خمسه الف ريال لا غير
ac03914,6450,6450,verified,true,6450,سته الاف واربعماه وخمسون ريال لا غير
ac03915,70000,70000,verified,true,70000,فقط سبعون الف ريال لا غير
ac03918,5000,5000,verified,true,5000,خمسه الاف ريال فقط لا غير
ac03921,6000,6000,verified,true,6000,سته الاف ريال فقط لا غير
ac03922,5511,5511,verified,true,5511,فقط خمسه الاف وخمسمايه واحد عشر ريالا لا غير
ac03923,6000,6000,verified,true,6000,سته الاف ريال لا غير
ac03928,5000,50000,failed,false,5000,خمسه الاف ريال فقط
ac03929,14122,14112,failed,true,14112,اربعه عشر الف ومايه واثن عشريل لا غير
ac03932,1500,1500,verified,true,1500,فقط الف وخمسمايه ريال لا غير
ac03936,500000,500000,verified,true,500000,خمسمايه الف ريال فقط لا غير
ac03937,30100,130000,failed,true,130000,فقط مايه وثلاثون الف ريال لا غير
ac03938,9,900,failed,true,900,تسع ريال فقط لا غير
ac03939,1300,1300,verified,true,1300,الف وثلاثمايه ريال
ac03940,1000,3000,failed,true,3000,وقدرهثلاه الاف ريال
ac03941,3000,3000,verified,true,3000,ثلاثه الاف ريال فقط لا غير
ac03943,50000,50000,verified,true,50000,خمسون الف ريال فقط لا غير
ac03945,1461,1461,verified,true,1461,فقط الف واربعمايه واحد وستون ريال لا غير
ac03946,10150,10150,verified,true,10150,عشره الف ومايه وخمسون ريال فقط لا غير
ac03947,3585,3585,verified,true,3585,فقط ثلاثه الف وخمسمايه وخمسه وثمانون ريال لا غير
ac03948,1283,1283,verified,true,1283,الف ومايتان وثلاثه وثمانون ريالا لا غير
ac03952,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac03955,2850,2850,verified,true,2850,فقط الفان وثمانمايه وخمسون ريال لا غير
ac03958,20000,10000,failed,true,10000,عشرون الف ريال فقط
ac03959,20000,20000,verified,true,20000,عشرون الف ريال لا غير
ac03962,3350,3350,verified,true,3350,فقط ثلاثه الاف وثلاثمايه وخمسون ريال
ac03964,2000,2000,verified,true,2000,فقط الفين ريال لا غير
ac03967,4960,4960,verified,true,4960,اربعه الاف وتسعمايه وستون ريال لا غير
ac03975,2600,2600,verified,true,2600,الفين ستمايه ريال لا غير
ac03976,2073,2073,verified,true,2073,الفان وثلاثه وسبعون ريال لا غير
ac03979,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac03983,15000,15000,verified,true,15000,فقط خمسه عشره الاف ريال لا غير
ac03984,10100,110000,failed,true,110000,مايه وعشره الاف ريال لا غير
ac03986,11000,11000,verified,true,11000,احد عشر الف ريال لا غير
ac03987,400000,400000,verified,true,400000,اربعمايه الف ريال فقط لا غير
ac03989,1500,1500,verified,true,1500,الف وخمسمايه ريال لا غير
ac03990,6000,6000,verified,true,6000,سته الاف ريال لا غير
ac03991,6151,9651,failed,true,9651,فقط سته الف ومايه واحد وخمسون ريال لا غير
ac03994,35400,35400,verified,true,35400,فقط خمسه وثلاثون الف واربعمايه ريال لا غير
ac03995,17500,17500,verified,true,17500,فقط سبعه عشر الف وخمسمايه ريال لا غير
ac03996,10000,10000,verified,true,10000,فقط عشره الاف ريال لا غير
ac03997,1063,3360,failed,true,3360,ثه الف وثلاثاه وستون ريال فقط لا غير
ac03998,1070,1070,verified,true,1070,الف وسبعون ريال فقط لا غير
ac04000,40000,40000,verified,true,40000,اربعون الف رياللا غير
ac04002,1500,1500,verified,true,1500,الف وخمسمايه ريال
ac04004,1275,1275,verified,true,1275,الف وميتان وخمس وسبعون ريال فقط
ac04005,2100,2100,verified,true,2100,قطه الفان ومايه ريال لا غير
ac04007,1000,2000,failed,true,2000,فقط الف ان ريال لا غير
ac04008,5000,10000,failed,true,10000,فقط خمسه الف ريال لا غير
ac04010,720,720,verified,true,720,فقط سبعمايه وعشرون ريال
ac04012,2000,2000,verified,true,2000,الفين ن ريال لا غير
ac04015,26306,26306,verified,true,26306,سته وعشرون الف وثلاثمايه وسته ريال لا غير
ac04017,10337,10337,verified,true,10337,شره الاف وثلاثمايه وسبعه وثلاثون ريال لا غير
ac04020,4900,4900,verified,true,4900,اربعه الاف وتسعمايه ريال لا غير
ac04021,4000,4000,verified,true,4000,فقط اربعه الاف ريال لا غير
ac04022,4000,400,failed,false,4000,اربعه الاف ريال لا غير
ac04023,5000,500,failed,false,5000,خمسه الاف يا
ac04024,,40300,failed,true,40300,فقطيه و ا يا ل لا غير
ac04027,1670,1670,verified,true,1670,فقط الف وستمايه وسبعون ريال لا غير
ac04031,500,500,verified,true,500,خمس مايه ريال فقط
ac04033,6500,6500,verified,true,6500,سته الف وخمسمايه ريال فقط لا غير
ac04035,4000,4000,verified,true,4000,فقط اربعه الاف ريال
ac04036,15000,715000,failed,false,15000,خمسه عشر الف ريال فقط
ac04039,2650,2650,verified,true,2650,الفين وستمايه وخمسون ريال لا غير
ac04041,75100,175000,failed,true,175000,مايت وخمسه وسبعون الف ريال لا غير
ac04043,4500,450000,failed,true,450000,فقط اربعه الف وخمسمايه ريال لا غير
ac04045,900,900,verified,true,900,فقط تسعمايه ريال
ac04047,1000,2000,failed,true,2000,الف يريال
ac04048,1828,1828,verified,true,1828,وقاحد الف وثمانمايه وثمانيه وعشرون ريال لا غير
ac04049,7000,57000,failed,false,7000,سبعه الاف ريال لا غير
ac04052,6000,6000,verified,true,6000,سته الاف ريال
ac04055,1882,1882,verified,true,1882,الف وثمانمايه واثنان وثمانون ريال
ac04056,3180,3180,verified,true,3180,ثلاثه الاف ومايه وثمانون ريال لا غير
ac04057,5000,5000,verified,true,5000,فقط خمسه الاف ريال لا غير
ac04058,97000,97000,verified,true,97000,سبعه وتسعون الف ريال
ac04059,17179,17679,failed,true,17679,سبعه عشر الف وسمايه وسعه وسبعون ريال فقط
ac04061,5110,5682,failed,true,5682,وقدره خمسه الاف و سمايه واثنان وثمان ريال لا غير
ac04065,1000,3000,failed,true,3000,وقدرهثلاثه الاف ريال لا غير
ac04066,20000,20000,verified,true,20000,عشرون الف ريال
ac04067,7350,7350,verified,true,7350,سبعه الف وثلاثمايه وخمسون ريال فقط
ac04068,1190,1190,verified,true,1190,فقط الف ومايه وتسعون ريال
ac04069,1855,1855,verified,true,1855,الف وثمانمايه وخمسه وخمسون ريال
ac04072,50,550000,failed,false,50000,فقط خمسوان ريال لا غير
ac04073,4680,4680,verified,true,4680,اربعه الاف وستمايه وثمانون ريال لا غير
ac04075,30544,30544,verified,true,30544,ثلاثون الاف و خمسمايه واربعه واربعون ريال
ac04077,2990,2979,failed,true,2979,الفين وتسعمايه وتسعوون ريال فقط
ac04082,450,400,failed,false,45000,فقط اربعمايه وخمسون ريال
ac04084,,900,failed,true,900,ين ريال لا غير
ac04087,2000,2000,verified,true,2000,فقط الفانن ريال
ac04088,555,559,failed,false,555,خمسمايه وخمسه وخمسون ريال فقط
ac04089,60000,20000,failed,true,20000,شاون الف ريال فقط
ac04095,18000,18000,verified,true,18000,ثمانيه عشره الف ريال لا غير
ac04100,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac04101,50000,80000,failed,true,80000,خمسرون الف ريال لا غير
ac04106,15000,15000,verified,true,15000,فقط خمسه عشر الف ريال لا غير
ac04108,1500,2500,failed,true,2500,الف وخمسمايه ريال فقط لا غير
ac04109,2511,2511,verified,true,2511,الفان وخمسمايه واحد عه شر ريال لا غير
ac04110,209,2199812128,failed,false,209,مايتان واتسعه ريال لا غير
ac04113,1984,100884,failed,true,100884,مايه الف وثمان ومايه واربع وثمانون ريال لا غير
ac04115,10000,10000,verified,true,10000,عروه الاف ريال
ac04116,67728,67728,verified,true,67728,فقط سبعه وستون الف وسبعماه وثمانه وعشرون ريال لا غير
ac04121,1600,1600,verified,true,1600,الف وستمايه ريال لا غير
ac04122,1000,1000,verified,true,1000,الف ريال فقط لا غير
ac04126,3600,3600,verified,true,3600,ثلاثه الاف وستمايه ريال فقط لا غير
ac04127,3000,3000,verified,true,3000,ثلاثه لاف ريال لا غير
ac04132,2495,2495,verified,true,2495,الفان واربعمايه وخمسه وتسعون ريال
ac04134,10000,10000,verified,true,10000,عشره الاف ريال لا غير
ac04139,12000,12000,verified,true,12000,فقط اثي عشر الف ريال لا غير
ac04140,35000,35000,verified,true,35000,فقط خمسه وثلاثون الف ريال لا غير
ac04143,51250,51250,verified,true,51250,واحد وخمسون الف ومايتان وخمسون ريال
ac04145,338,338,verified,true,338,ثلاثمايه وثمانيه وثلاثون ريال سعو
ac04148,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac04149,1100,100000,failed,true,100000,فقط مايه الف ريال لا غير
ac04152,50000,50000,verified,true,50000,خمسون الف ريال لا غير
ac04153,8000,8000,verified,true,8000,فقط ثمانيه الاف ريال لا غير
ac04154,4000,4000,verified,true,4000,اربعه الاف ريال فقط
ac04157,2232,2232,verified,true,2232,فقط الفان وميتان واثنين وثلاثون ريال لا غير
ac04159,2880,2880,verified,true,2880,الفان وثمانمايه وثمانون
ac04162,30000,30000,verified,true,30000,ثلاثون الف ريال لا غير
ac04163,990,990,verified,true,990,فقط تسعمايه و تسعون لا غير
ac04164,4440,44440,failed,false,4440,اربعه الاف واربعمايه واربعون رياللا
ac04165,12642,12642,verified,true,12642,اثنا عشر الف وستمايه واثنان واربعون ريال
ac04166,30000,30000,verified,true,30000,وقدره ثلاثون الف ريال
ac04167,1610,3618,failed,false,1618,فقط الف وستاه وثمايه وعشر ريال لا غير
ac04171,2424,2444,failed,false,2424,فقط الفين واربعمايه اربعه وعشرون ريال لا غير
ac04177,947,947,verified,true,947,تسعمايه وسبعه واربعون ريال لا غير
ac04178,3800,3800,verified,true,3800,ثلاثه الاف وثمانمايه ريال فقط ا غير
ac04179,18100,18100,verified,true,18100,فقط ثمانيه عشر الف ومايه ريال لا غير
ac04180,5700,5700,verified,true,5700,خمسه الاف وسبعمايه ريال فقط
ac04181,672,673,failed,false,672,فقط ستمايه واثنان وسبعون ريال لا غير
ac04183,2224,2224,verified,true,2224,فقط الفان و ميتان و اربعه وعشرون ريال لا غير
ac04184,15000,15000,verified,true,15000,خمسه عشر الف ريال فقط لا غير
ac04185,10000,1000,failed,false,10000,عشره الاف ريال فقط لا غير
ac04186,169,165,failed,true,165,مانيه وتسع وسون ريال لا غير
ac04188,1066,5363,failed,true,5363,سه الاف وثلاثا وثلاثه وستون ريال
ac04195,740,740,verified,true,740,سبعمايه واربعين ريال لا غير
ac04198,6726,6726,verified,true,6726,فقط سته الاف وسبعمايه وسته وعشرون ريال لا غير
ac04200,6004,6004,verified,true,6004,فقط سته الاف واربعه ريالا لا غير
ac04202,,2000,failed,true,2000,وقدر تلسفن ريال لا غير
ac04203,360,360,verified,true,360,ثلاثمايه وستون ريالا فقط
ac04206,1920,1920,verified,true,1920,الف وتسعمايه وعشرون ريال لا غير
ac04207,4900,4900,verified,true,4900,فقط اربعه الاف وتسعمايه ريال لا غير
ac04209,1000,8000,failed,true,8000,وقدرهثمانه الاف ريال لا غير
